Vatten_ID,EU_CD,County,County_no
WA93173455,SE653095-150210,Östergötland,05
WA93179858,SE719494-141716,Jämtland,23
WA93189731,SE705391-157594,Västernorrland,22
WA93191803,SE644886-151304,Östergötland,05
WA93193804,SE707459-134716,Jämtland,23
WA93200067,SE698100-134274,Jämtland,23
WA93202015,SE635455-139668,Jönköping,06
WA93216173,SE725745-173558,Norrbotten,25
WA93218070,SE680525-149605,Gävleborg,21
WA93222870,SE732146-169358,Norrbotten,25
WA93230450,SE704423-156218,Västernorrland,22
WA93245850,SE734915-866568,Norrbotten,25
