Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,TrophicMacrophyteIndex
,,Sävasjön,Sävasjön,,,2015-09-10,,SLU,,7.775
,SE208407-514401,Kornan,Kornan,,,2018-09-10,,SLU,,6.844
,,Tomtsjön,Tomtsjön,,,2014-07-29,,SLU,,6.468
WA30973159,SE203057-442046,Mullsjön,Mullsjön,,,2016-07-12,,SLU,,7.511
WA22455661,SE703887-152394,Lungsjön,Lungsjön,,,2013-09-05,,SLU,,7.595
WA58110555,SE652439-153389,Näsnaren,Näsnaren,,,2012-08-22,,SLU,,7.33
,,Norrbysjön,Norrbysjön,,,2016-08-11,,SLU,,6.015
,SE202280-431505,Vartoftasjön,Vartoftasjön,,,2015-09-08,,SLU,,5.21
WA48621604,SE201466-424141,Mogden,Mogden,,,2015-07-02,,SLU,,7.115
,SE201662-422804,Grosken,Grosken,,,2015-07-03,,SLU,,7.957
WA67580821,SE643591-132677,Kvinnestadsjön,Kvinnestadsjön,,,2018-09-15,,SLU,,8.078
,SE654851-156059,"Båven, Sparreholm-Aspöfjärden","Båven, Sparreholm-Aspöfjärden",,,2015-08-13,,SLU,,6.928
,SE654551-155492,Västra Båven,Västra Båven,,,2015-08-12,,SLU,,6.885
,,Kallsjön,Kallsjön,,,2018-08-17,,SLU,,8
,,Stockbysjön,Stockbysjön,,,2015-09-15,,SLU,,5.854
,,Västra Långängskärret,Västra Långängskärret,,,2015-09-15,,SLU,,6.121
,,Bläcktärnsjön,Bläcktärnsjön,,,2015-08-19,,SLU,,7
,,Igelsjön,Igelsjön,,,2015-08-20,,SLU,,6.571
,,Matyxsjön,Matyxsjön,,,2015-08-31,,SLU,,7.765
,,"Lilla Rängen, Västerbybron","Lilla Rängen, Västerbybron",,,2016-08-26,,SLU,,6.916
,,"Motala ström, Motala vattenverk","Motala ström, Motala vattenverk",,,2016-07-13,,SLU,,7.505
,,"Motala ström, Motala vattenverk","Motala ström, Motala vattenverk",,,2016-07-14,,SLU,,7.585
,,"Motala ström, Motala vattenverk","Motala ström, Motala vattenverk",,,2016-07-15,,SLU,,7.849
,,"Motala ström, Motala vattenverk","Motala ström, Motala vattenverk",,,2016-07-15,,SLU,,6.864
,,"Motala ström, Motala vattenverk","Motala ström, Motala vattenverk",,,2016-08-23,,SLU,,7.461
