Vatten_ID,EU_CD,Municipality,Municipality_no
WA48009903,SE659899-128003,Årjäng,1765
WA48026218,SE727487-157034,Sorsele,2422
WA48056708,SE652766-126134,Tanum,1435
WA48066601,SE726048-156754,Sorsele,2422
WA48070008,SE709432-466468,Krokom,2309
WA48072469,SE691996-138511,Härjedalen,2361
WA48075416,SE635184-135277,Gislaved,0662
WA48078367,SE657152-145754,Örebro,1880
WA48082343,SE685041-149269,Ljusdal,2161
WA48086781,SE705886-143998,Krokom,2309
WA48101513,SE678323-156066,Söderhamn,2182
WA48107171,SE671632-148899,Falun,2080
WA48124027,SE720891-166877,Norsjö,2417
WA48131722,SE729130-155473,Sorsele,2422
WA48134947,SE685521-153920,Hudiksvall,2184
WA48139302,SE685059-158267,Hudiksvall,2184
WA48142397,SE636906-130880,Mark,1463
WA48162928,SE641199-130515,Alingsås,1489
WA48165117,SE724082-157554,Sorsele,2422
WA48168363,SE648570-127664,Uddevalla,1485
WA48174937,SE689187-154611,Nordanstig,2132
WA48186232,SE741018-163865,Jokkmokk,2510
WA48189090,SE745547-156808,Jokkmokk,2510
WA48194425,SE713996-171398,Umeå,2480
WA48198943,SE728182-162256,Arvidsjaur,2505
WA48200472,SE736095-176512,Boden,2582
WA48208543,SE675215-571984,Ockelbo,2101
WA48210121,SE702107-139034,Åre,2321
WA48213011,SE721137-160593,Lycksele,2481
WA48213011,SE721137-160593,Storuman,2421
WA48216294,SE704051-153464,Sollefteå,2283
WA48218521,SE638199-142529,Nässjö,0682
WA48219857,SE663136-368452,Arvika,1784
WA48220952,SE732700-812695,Boden,2582
WA48221860,SE674330-153859,Ockelbo,2101
WA48225626,SE704054-141307,Krokom,2309
WA48228874,SE702874-141468,Krokom,2309
WA48235153,SE727269-172069,Piteå,2581
WA48235666,SE733446-162141,Arjeplog,2506
WA48251225,SE701665-681138,Örnsköldsvik,2284
WA48259827,SE758663-178307,Kiruna,2584
WA48263040,SE705946-140094,Krokom,2309
WA48277331,SE623494-514832,Ronneby,1081
WA48278641,SE711909-165098,Lycksele,2481
WA48285399,SE664930-135688,Sunne,1766
WA48286303,SE716273-143914,Strömsund,2313
WA48290251,SE710350-173353,Umeå,2480
WA48290769,SE644292-155204,Valdemarsvik,0563
WA48291813,SE671870-147974,Falun,2080
WA48292975,SE724342-174775,Piteå,2581
WA48296729,SE712029-154603,Dorotea,2425
WA48296729,SE712029-154603,Åsele,2463
WA48296955,SE699686-148044,Bräcke,2305
WA48302206,SE750777-169779,Gällivare,2523
WA48317711,SE748662-160379,Jokkmokk,2510
WA48320013,SE711751-164925,Lycksele,2481
WA48320361,SE698105-157104,Sollefteå,2283
WA48334905,SE679808-136740,Malung-Sälen,2023
WA48336368,SE686242-139826,Härjedalen,2361
WA48338853,SE623665-139314,Östra Göinge,1256
WA48339945,SE655059-610031,Flen,0482
WA48343742,SE738499-178883,Överkalix,2513
WA48344892,SE753388-168678,Kiruna,2584
WA48348521,SE683601-137701,Älvdalen,2039
WA48354230,SE741330-174831,Gällivare,2523
WA48363670,SE706677-165116,Örnsköldsvik,2284
WA48364337,SE691272-145610,Ånge,2260
WA48365070,SE754319-167606,Kiruna,2584
WA48369146,SE713841-144177,Strömsund,2313
WA48369183,SE683314-154327,Bollnäs,2183
WA48369183,SE683314-154327,Hudiksvall,2184
WA48369576,SE688310-152274,Hudiksvall,2184
WA48371095,SE764257-168359,Kiruna,2584
WA48374243,SE704947-136527,Åre,2321
WA48380442,SE746405-752098,Gällivare,2523
WA48383237,SE702375-156762,Sollefteå,2283
WA48385565,SE723651-175662,Skellefteå,2482
WA48393253,SE706111-155891,Sollefteå,2283
WA48400392,SE683853-155253,Hudiksvall,2184
WA48401011,SE721056-158844,Storuman,2421
WA48403363,SE686948-137046,Härjedalen,2361
WA48420506,SE725160-172662,Piteå,2581
WA48422013,SE666096-164263,Uppsala,0380
WA48429521,SE655016-129542,Bengtsfors,1460
