Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,EQR8,AindexW5,EindexW3
WA63543821,NW623508-140246,Hela sjön,Hela sjön,14.23455,56.23501,2011-07-10,,SLU,,0.1582678396,0.0717384151,0.8661462181
WA63543821,NW623508-140246,Hela sjön,Hela sjön,14.23455,56.23501,2016-07-06,,SLU,,0.4380160379,0.7414773515,0.5877678079
WA93163816,NW623507-141145,Hela sjön,Hela sjön,14.37751,56.246,1997-07-10,,SLU,,0.1261271224,0.0171146792,0.938036838
WA93163816,NW623507-141145,Hela sjön,Hela sjön,14.37751,56.246,1998-07-26,,SLU,,0.1829761638,0.2228376335,0.9151291677
WA93163816,NW623507-141145,Hela sjön,Hela sjön,14.37751,56.246,2001-08-03,,SLU,,0.3714797883,0.5470158757,0.6993803975
WA93163816,NW623507-141145,Hela sjön,Hela sjön,14.37751,56.246,2004-07-27,,SLU,,0.2480209312,0.465018054,0.4848715683
WA93163816,NW623507-141145,Hela sjön,Hela sjön,14.37751,56.246,2008-07-20,,SLU,,0.3445967831,0.278697333,0.7536124088
WA93163816,NW623507-141145,Hela sjön,Hela sjön,14.37751,56.246,2014-07-15,,SLU,,0.486533031,0.3790147006,0.5321626159
WA99767812,NW623580-138606,Hela sjön,Hela sjön,13.97659,56.24324,2012-08-15,,SLU,,0.6221058119,0.6967581363,0.2494176673
WA47770263,NW623727-143968,Hela sjön,Hela sjön,14.83435,56.25861,2000-08-09,,SLU,,0.5792977334,0.3044924309,0.6339762313
WA18467697,NW623736-140183,Hela sjön,Hela sjön,14.22043,56.25657,2003-07-20,,SLU,,0.6153543821,0.332992485,0.454944596
WA18467697,NW623736-140183,Hela sjön,Hela sjön,14.22043,56.25657,2005-08-06,,SLU,,0.4163130592,0.547980639,0.376845706
WA18467697,NW623736-140183,Hela sjön,Hela sjön,14.22043,56.25657,2008-07-10,,SLU,,0.444281519,0.3870200848,0.5597708574
WA18467697,NW623736-140183,Hela sjön,Hela sjön,14.22043,56.25657,2011-07-06,,SLU,,0.6236242691,0.4818508753,0.230540445
WA18467697,NW623736-140183,Hela sjön,Hela sjön,14.22043,56.25657,2016-07-04,,SLU,,0.3545476899,0.5149423766,0.3673766875
,,Hela sjön,Hela sjön,14.80293,56.26357,1997-08-26,,SLU,,0.6329349686,0.4769867278,0.4700354829
WA81412962,SE623811-137924,Hela sjön,Hela sjön,13.85675,56.2557,2005-07-03,,SLU,,0.3905912301,0.7604941817,0.2411593215
WA99278561,NW623808-149871,Hela sjön,Hela sjön,15.77683,56.27239,1997-08-08,,SLU,,0.5615983543,0.5239671451,0.25304684
WA16008788,NW623835-136188,Hela sjön,Hela sjön,13.57248,56.25412,1998-07-05,,SLU,,0.58488721,0.600253106,0.3118406007
WA16008788,NW623835-136188,Hela sjön,Hela sjön,13.57248,56.25412,2001-07-25,,SLU,,0.4232413862,0.7546954853,0.0778732166
WA16008788,NW623835-136188,Hela sjön,Hela sjön,13.57248,56.25412,2005-07-31,,SLU,,0.5372025633,0.7633452236,0.1100377098
WA16008788,NW623835-136188,Hela sjön,Hela sjön,13.57248,56.25412,2011-07-17,,SLU,,0.4784902658,0.6893987696,0.0988736123
WA16008788,NW623835-136188,Hela sjön,Hela sjön,13.57248,56.25412,2017-07-20,,SLU,,0.5791498425,0.4369580056,0.2320311999
WA52036007,NW623975-144602,Hela sjön,Hela sjön,14.93908,56.27995,1997-08-25,,SLU,,0.4006669984,0.5404060829,0.3858142135
,,Hela sjön,Hela sjön,14.70518,56.28447,2009-07-23,,SLU,,0.8558212993,0.5125857987,0.5141326018
WA49933782,NW623984-143051,Hela sjön,Hela sjön,14.68509,56.28635,2000-07-20,,SLU,,0.6233459372,0.3108756399,0.8448869022
WA49933782,NW623984-143051,Hela sjön,Hela sjön,14.68509,56.28635,2007-07-18,,SLU,,0.6011650529,0.4931813986,0.8008133163
WA49933782,NW623984-143051,Hela sjön,Hela sjön,14.68509,56.28635,2013-08-10,,SLU,,0.7575965805,0.588787737,0.6213655268
WA84189604,NW624010-141158,Hela sjön,Hela sjön,14.37869,56.28374,2000-07-24,,SLU,,0.6217272815,0.4492959077,0.7474865437
WA84189604,NW624010-141158,Hela sjön,Hela sjön,14.37869,56.28374,2003-07-16,,SLU,,0.6333630465,0.7017177424,0.6305070055
WA40434155,SE624108-141421,Hela sjön,Hela sjön,14.4198,56.28996,1996-07-14,,SLU,,0.6527687295,0.4000382436,0.6016129865
WA40434155,SE624108-141421,Hela sjön,Hela sjön,14.4198,56.28996,2002-07-30,,SLU,,0.6760468072,0.4619952131,0.4032585659
WA76732692,NW624156-135808,Hela sjön,Hela sjön,13.51099,56.28111,2002-07-15,,SLU,,0.4455412292,0.4617509888,0.4137451571
WA76732692,NW624156-135808,Hela sjön,Hela sjön,13.51099,56.28111,2005-07-18,,SLU,,0.357649422,0.5737874583,0.1128892333
WA76732692,NW624156-135808,Hela sjön,Hela sjön,13.51099,56.28111,2008-07-29,,SLU,,0.5349522577,0.5271415288,0.2154268318
WA76732692,NW624156-135808,Hela sjön,Hela sjön,13.51099,56.28111,2011-07-12,,SLU,,0.387662551,0.5049184324,0.3706963705
WA76732692,NW624156-135808,Hela sjön,Hela sjön,13.51099,56.28111,2017-07-22,,SLU,,0.409140871,0.5288945374,0.567452206
WA72072438,NW624222-137172,Hela sjön,Hela sjön,13.72492,56.28499,2006-07-17,,SLU,,0.564517259,0.5427223269,0.1271976687
WA72072438,NW624222-137172,Hela sjön,Hela sjön,13.72492,56.28499,2010-08-06,,SLU,,0.5393961533,0.7287165026,0.1002869831
WA60828087,NW624216-134978,Hela sjön,Hela sjön,13.36894,56.28002,1996-07-28,,SLU,,0.7166979818,0.5441035338,0.4351747676
WA60828087,NW624216-134978,Hela sjön,Hela sjön,13.36894,56.28002,1999-07-05,,SLU,,0.5521998358,0.5204743512,0.5753100709
WA60828087,NW624216-134978,Hela sjön,Hela sjön,13.36894,56.28002,2002-07-16,,SLU,,0.6121662058,0.520442589,0.3748069062
WA60828087,NW624216-134978,Hela sjön,Hela sjön,13.36894,56.28002,2005-08-01,,SLU,,0.6945682265,0.6706701366,0.3998418908
WA60828087,NW624216-134978,Hela sjön,Hela sjön,13.36894,56.28002,2012-07-17,,SLU,,0.409308201,0.495776704,0.4803111579
WA18527151,SE624180-141251,Hela sjön,Hela sjön,14.39213,56.29611,2001-08-05,,SLU,,0.4882787626,0.5383283417,0.4754132733
WA18527151,SE624180-141251,Hela sjön,Hela sjön,14.39213,56.29611,2010-07-04,,SLU,,0.1886778114,0.2777403913,0.6205805729
WA18527151,SE624180-141251,Hela sjön,Hela sjön,14.39213,56.29611,2014-07-14,,SLU,,0.3333258048,0.3591513204,0.5510534792
WA24840967,NW624232-135867,Hela sjön,Hela sjön,13.52558,56.28578,1996-08-05,,SLU,,0.4768406132,0.3727281967,0.7370478014
WA24840967,NW624232-135867,Hela sjön,Hela sjön,13.52558,56.28578,1999-07-20,,SLU,,0.5067326599,0.346337604,0.517379091
WA24840967,NW624232-135867,Hela sjön,Hela sjön,13.52558,56.28578,2002-07-14,,SLU,,0.472835924,0.5648566629,0.4365746116
WA24840967,NW624232-135867,Hela sjön,Hela sjön,13.52558,56.28578,2005-07-17,,SLU,,0.6302134423,0.4712336152,0.456896852
WA24840967,NW624232-135867,Hela sjön,Hela sjön,13.52558,56.28578,2008-07-28,,SLU,,0.4799932666,0.5408788446,0.1681461229
WA24840967,NW624232-135867,Hela sjön,Hela sjön,13.52558,56.28578,2011-07-13,,SLU,,0.4893130976,0.4000531239,0.4642695433
WA24840967,NW624232-135867,Hela sjön,Hela sjön,13.52558,56.28578,2017-07-22,,SLU,,0.436241502,0.4331519872,0.3927584597
WA15209253,SE624216-134515,Hela sjön,Hela sjön,13.30484,56.28215,2016-08-03,,SLU,,0.5067308657,0.353269731,0.4246723295
WA43367673,NW624271-137415,Hela sjön,Hela sjön,13.77871,56.29396,1997-07-02,,SLU,,0.4460224762,0.8048548976,0.2724138457
WA43367673,NW624271-137415,Hela sjön,Hela sjön,13.77871,56.29396,2000-07-25,,SLU,,0.4867293759,0.8500356,0.0823683867
WA43367673,NW624271-137415,Hela sjön,Hela sjön,13.77871,56.29396,2005-07-10,,SLU,,0.6163925365,0.8324279895,0.2957596024
WA43367673,NW624271-137415,Hela sjön,Hela sjön,13.77871,56.29396,2011-07-11,,SLU,,0.5205351701,0.6929187231,0.1922012617
WA33703346,NW624283-149881,Hela sjön,Hela sjön,15.78214,56.31199,2000-07-24,,SLU,,0.5480468386,0.568957549,0.2809504559
WA71870801,NW624337-146387,Hela sjön,Hela sjön,15.22012,56.3142,2000-08-03,,SLU,,0.8143626054,0.5200074806,0.5228063917
WA94832273,SE624366-147902,Hela sjön,Hela sjön,15.46637,56.31665,1997-08-11,,SLU,,0.6663031335,0.4046363228,0.3255009629
WA60346203,NW624404-145728,Hela sjön,Hela sjön,15.11111,56.3202,1997-08-06,,SLU,,0.6391799957,0.2971117149,0.413255875
WA96751490,NW624489-147504,Hela sjön,Hela sjön,15.41392,56.32413,1993-07-18,,SLU,,0.7148273543,0.630768575,0.5035949733
WA90038051,NW624421-140644,Hela sjön,Hela sjön,14.29561,56.3185,2012-07-08,,SLU,,0.5389763973,0.5953400445,0.467828893
